sub,trial,coh,dir,resp,rt,trialType,prob
0,230,1,1,0,0,1,0.75
0,231,0,2,1,3.27598770172335,0,0.75
0,232,1,1,0,0,1,0.75
0,233,1,1,0,0,1,0.75
0,234,0.1,1,1,0.809835858352017,0,0.75
0,235,1,1,0,0,1,0.75
0,236,0,2,2,3.69429863983532,0,0.75
0,237,1,1,0,0,1,0.75
0,238,0.1,2,1,2.30212088720873,0,0.75
0,239,1,1,0,0,1,0.75
0,240,1,1,0,0,1,0.75
0,241,1,1,0,0,1,0.75
0,242,0.15,1,1,1.52350260782987,0,0.75
0,243,1,1,0,0,1,0.75
0,244,1,1,0,0,1,0.75
0,245,1,2,0,0,1,0.75
0,246,0.15,1,1,0.484950849902816,0,0.75
0,247,1,1,0,0,1,0.75
0,248,1,1,0,0,1,0.75
0,249,0.15,1,2,0.350891477137338,0,0.75
0,250,1,1,0,0,1,0.75
0,251,0.05,1,1,0.34240048553329,0,0.75
0,252,1,1,0,0,1,0.75
0,253,1,1,0,0,1,0.75
0,254,1,2,0,0,1,0.75
0,255,0.1,1,1,0.298776845564134,0,0.75
0,256,1,2,0,0,1,0.75
0,257,1,1,0,0,1,0.75
0,258,1,2,0,0,1,0.75
0,259,0,2,1,0.433873050846159,0,0.75
0,260,1,1,0,0,1,0.75
0,261,0.05,2,1,0.726153331866954,0,0.75
0,262,1,2,0,0,1,0.75
0,263,0.1,2,2,0.307530574093107,0,0.75
0,264,1,2,0,0,1,0.75
0,265,1,1,0,0,1,0.75
0,266,1,2,0,0,1,0.75
0,267,1,2,0,0,1,0.75
0,268,1,2,0,0,1,0.75
0,269,1,1,0,0,1,0.75
0,270,1,2,0,0,1,0.75
0,271,1,2,0,0,1,0.75
0,272,1,1,0,0,1,0.75
0,273,1,2,0,0,1,0.75
0,274,1,1,0,0,1,0.75
0,275,1,2,0,0,1,0.75
0,276,1,1,0,0,1,0.75
0,277,1,2,0,0,1,0.75
0,278,0.05,1,1,0.526702930161264,0,0.75
0,279,1,2,0,0,1,0.75
0,280,0.15,1,1,0.598044518381357,0,0.75
0,281,1,1,0,0,1,0.75
0,282,0.05,1,2,0.603782064979896,0,0.75
0,283,1,2,0,0,1,0.75
0,284,0.1,1,1,0.529241758456919,0,0.75
0,285,1,1,0,0,1,0.75
0,286,0.05,1,2,0.553490872844122,0,0.75
0,287,1,1,0,0,1,0.75
0,288,0.1,1,2,0.404579964117147,0,0.75
0,289,1,2,0,0,1,0.75
0,290,1,2,0,0,1,0.75
0,291,1,1,0,0,1,0.75
0,292,1,1,0,0,1,0.75
0,293,1,1,0,0,1,0.75
0,294,1,2,0,0,1,0.75
0,295,0.05,2,1,0.635688726964872,0,0.75
0,296,1,1,0,0,1,0.75
0,297,1,2,0,0,1,0.75
0,298,0.1,1,2,0.346338973671664,0,0.75
0,299,1,1,0,0,1,0.75
0,300,0.05,2,2,1.48142298852326,0,0.75
0,301,1,1,0,0,1,0.75
0,302,1,1,0,0,1,0.75
0,303,0.05,2,1,1.40179636375979,0,0.75
0,304,1,1,0,0,1,0.75
0,305,1,2,0,0,1,0.75
0,306,1,1,0,0,1,0.75
0,307,1,1,0,0,1,0.75
0,308,0,2,2,0.415518034540582,0,0.75
0,309,1,1,0,0,1,0.75
0,310,0.15,1,1,0.347348538110964,0,0.75
0,311,1,2,0,0,1,0.75
0,312,1,1,0,0,1,0.75
0,313,0.1,2,2,0.422357536561321,0,0.75
0,314,1,1,0,0,1,0.75
0,315,1,1,0,0,1,0.75
0,316,1,1,0,0,1,0.75
0,317,1,1,0,0,1,0.75
0,318,0.15,1,1,1.73028077243362,0,0.75
0,319,1,1,0,0,1,0.75
0,320,1,1,0,0,1,0.75
0,321,0.15,1,2,0.324451283959206,0,0.75
0,322,1,1,0,0,1,0.75
0,323,1,1,0,0,1,0.75
0,324,0.1,1,2,0.447660486097448,0,0.75
0,325,1,1,0,0,1,0.75
0,326,0,1,2,1.93082575115841,0,0.75
0,327,1,2,0,0,1,0.75
0,328,1,2,0,0,1,0.75
0,329,1,2,0,0,1,0.75
0,330,0.15,2,1,4.45564589340938,0,0.75
0,331,1,2,0,0,1,0.75
0,332,1,1,0,0,1,0.75
0,333,1,1,0,0,1,0.75
0,334,1,1,0,0,1,0.75
0,335,0.05,1,2,0.587175420369022,0,0.75
0,336,1,1,0,0,1,0.75
0,337,0.15,2,2,0.597077620623168,0,0.75
0,338,1,2,0,0,1,0.75
0,339,0,1,2,0.410964889451861,0,0.75
0,340,1,1,0,0,1,0.75
0,341,1,2,0,0,1,0.75
0,342,0.1,1,2,0.60300668614218,0,0.75
0,343,1,1,0,0,1,0.75
0,344,0,2,1,5.10123521659989,0,0.75
0,345,1,2,0,0,1,0.75
0,346,1,2,0,0,1,0.75
0,347,0.05,1,2,0.393169352144469,0,0.75
0,348,1,1,0,0,1,0.75
0,349,1,1,0,0,1,0.75
0,350,0.1,2,2,13.5418207319453,0,0.75
0,351,1,1,0,0,1,0.75
0,352,1,1,0,0,1,0.75
0,353,1,1,0,0,1,0.75
0,354,0.05,1,1,1.03177545388462,0,0.75
0,355,1,1,0,0,1,0.75
0,356,0.05,2,2,0.424769968783949,0,0.75
0,357,1,1,0,0,1,0.75
0,358,1,1,0,0,1,0.75
0,359,0.15,2,1,0.567173085000832,0,0.75
0,360,1,1,0,0,1,0.75
0,361,1,1,0,0,1,0.75
0,362,1,1,0,0,1,0.75
0,363,1,1,0,0,1,0.75
0,364,0.1,1,2,0.338732433679979,0,0.75
0,365,1,2,0,0,1,0.75
0,366,1,1,0,0,1,0.75
0,367,0.15,1,2,0.330510595114902,0,0.75
0,368,1,1,0,0,1,0.75
0,369,1,1,0,0,1,0.75
0,370,1,1,0,0,1,0.75
0,371,1,1,0,0,1,0.75
0,372,1,1,0,0,1,0.75
0,373,1,1,0,0,1,0.75
0,374,0.1,1,2,3.64690878248075,0,0.75
0,375,1,1,0,0,1,0.75
0,376,1,1,0,0,1,0.75
0,377,1,1,0,0,1,0.75
0,378,1,1,0,0,1,0.75
0,379,0.05,2,2,0.575938041554764,0,0.75
0,380,1,1,0,0,1,0.75
0,381,0.1,2,1,0.389554874156602,0,0.75
0,382,1,1,0,0,1,0.75
0,383,1,1,0,0,1,0.75
0,384,0.15,1,2,0.366527053527534,0,0.75
0,385,1,2,0,0,1,0.75
0,386,1,1,0,0,1,0.75
0,387,1,1,0,0,1,0.75
